Year,Julian Date,DATE,Min Air T (C),Max Air T (C),Avg Air T (C),PRCP (inches),
2023,1,1/1/2023,-11.67,2.78,-4.44,0,
2023,2,1/2/2023,-11.67,0.56,-5.56,0,
2023,3,1/3/2023,-7.22,-1.67,-4.44,0,
2023,4,1/4/2023,-6.11,-2.22,-4.17,0.27,
2023,5,1/5/2023,-11.11,-2.22,-6.67,0.02,
2023,6,1/6/2023,-18.89,-4.44,-11.67,0,
2023,7,1/7/2023,-20.56,-6.67,-13.61,0,
2023,8,1/8/2023,-16.67,-10.00,-13.33,0,
2023,9,1/9/2023,-16.11,-5.00,-10.56,0,
2023,10,1/10/2023,-15.00,-3.33,-9.17,0,
2023,11,1/11/2023,-13.89,-1.67,-7.78,0,
2023,12,1/12/2023,-10.00,-3.89,-6.94,0,
2023,13,1/13/2023,-15.56,-7.22,-11.39,0,
2023,14,1/14/2023,-16.11,-7.22,-11.67,0,
2023,15,1/15/2023,-7.22,0.56,-3.33,0,
2023,16,1/16/2023,-2.22,1.11,-0.56,0,
2023,17,1/17/2023,-6.11,0.00,-3.06,0.06,
2023,18,1/18/2023,-7.22,-4.44,-5.83,0,
2023,19,1/19/2023,-7.22,-4.44,-5.83,0,
2023,20,1/20/2023,-9.44,-3.89,-6.67,0,
2023,21,1/21/2023,-8.89,-4.44,-6.67,0,
2023,22,1/22/2023,-18.33,-2.22,-10.28,0,
2023,23,1/23/2023,-17.78,-3.33,-10.56,0,
2023,24,1/24/2023,-15.56,0.00,-7.78,0,
2023,25,1/25/2023,-13.33,-2.22,-7.78,0,
2023,26,1/26/2023,-17.78,-9.44,-13.61,0,
2023,27,1/27/2023,-15.00,2.22,-6.39,0.02,
2023,28,1/28/2023,-18.89,-7.22,-13.06,0.01,
2023,29,1/29/2023,-23.33,-18.33,-20.83,0,
2023,30,1/30/2023,-26.11,-16.67,-21.39,0,
2023,31,1/31/2023,-26.11,-18.89,-22.50,0,
2023,32,2/1/2023,-25.00,-11.11,-18.06,0,
2023,33,2/2/2023,-20.00,-4.44,-12.22,0,
2023,34,2/3/2023,-22.78,-15.00,-18.89,0,
2023,35,2/4/2023,-19.44,-12.22,-15.83,0,
2023,36,2/5/2023,-13.89,2.22,-5.83,0,
2023,37,2/6/2023,-6.11,-1.11,-3.61,0,
2023,38,2/7/2023,-7.78,2.22,-2.78,0,
2023,39,2/8/2023,-8.33,2.78,-2.78,0,
2023,40,2/9/2023,-7.22,2.78,-2.22,0,
2023,41,2/10/2023,-18.89,-1.67,-10.28,0,
2023,42,2/11/2023,-17.78,-0.56,-9.17,0,
2023,43,2/12/2023,-11.11,2.22,-4.44,0,
2023,44,2/13/2023,-11.11,3.33,-3.89,0,
2023,45,2/14/2023,-10.56,5.00,-2.78,0,
2023,46,2/15/2023,-12.22,3.33,-4.44,0.44,
2023,47,2/16/2023,-16.11,-11.67,-13.89,0,
2023,48,2/17/2023,-18.89,-8.89,-13.89,0,
2023,49,2/18/2023,-16.67,-2.78,-9.72,0,
2023,50,2/19/2023,-11.67,1.11,-5.28,0,
2023,51,2/20/2023,-7.78,-1.11,-4.44,0.01,
2023,52,2/21/2023,-17.78,1.11,-8.33,0,
2023,53,2/22/2023,-16.11,-12.22,-14.17,0.28,
2023,54,2/23/2023,-18.33,-14.44,-16.39,0.34,
2023,55,2/24/2023,-27.78,-16.67,-22.22,0,
2023,56,2/25/2023,-25.56,-16.11,-20.83,0,
2023,57,2/26/2023,-20.00,-3.89,-11.94,0,
2023,58,2/27/2023,-11.67,2.78,-4.44,0,
2023,59,2/28/2023,-8.33,2.22,-3.06,0,
2023,60,3/1/2023,-6.11,1.11,-2.50,0,
2023,61,3/2/2023,-16.11,0.56,-7.78,0,
2023,62,3/3/2023,-13.89,-3.89,-8.89,0,
2023,63,3/4/2023,-6.11,2.22,-1.94,0,
2023,64,3/5/2023,-7.78,1.11,-3.33,0,
2023,65,3/6/2023,-2.78,0.56,-1.11,0.04,
2023,66,3/7/2023,-14.44,-2.22,-8.33,0,
2023,67,3/8/2023,-11.11,-3.89,-7.50,0.03,
2023,68,3/9/2023,-5.56,-0.56,-3.06,0.06,
2023,69,3/10/2023,-10.56,-0.56,-5.56,0.14,
2023,70,3/11/2023,-5.00,-2.22,-3.61,0.03,
2023,71,3/12/2023,-6.67,1.11,-2.78,0.05,
2023,72,3/13/2023,-10.56,-5.56,-8.06,0,
2023,73,3/14/2023,-15.00,-5.00,-10.00,0,
2023,74,3/15/2023,-12.22,0.00,-6.11,0,
2023,75,3/16/2023,-2.22,3.89,0.83,0.16,
2023,76,3/17/2023,-13.33,-2.22,-7.78,0.18,
2023,77,3/18/2023,-16.67,-11.11,-13.89,0,
2023,78,3/19/2023,-17.78,-9.44,-13.61,0,
2023,79,3/20/2023,-13.33,3.89,-4.72,0,
2023,80,3/21/2023,-13.33,-2.22,-7.78,0,
2023,81,3/22/2023,-8.33,2.78,-2.78,0.03,
2023,82,3/23/2023,-8.33,-2.22,-5.28,0,
2023,83,3/24/2023,-9.44,-1.11,-5.28,0,
2023,84,3/25/2023,-5.56,1.11,-2.22,0,
2023,85,3/26/2023,-10.56,2.22,-4.17,0,
2023,86,3/27/2023,-10.00,-2.22,-6.11,0,
2023,87,3/28/2023,-12.78,-2.78,-7.78,0,
2023,88,3/29/2023,-16.11,0.56,-7.78,0,
2023,89,3/30/2023,-15.00,-5.00,-10.00,0,
2023,90,3/31/2023,-5.00,0.00,-2.50,0,
2023,91,4/1/2023,-8.89,0.00,-4.44,0.11,
2023,92,4/2/2023,-8.89,3.89,-2.50,0,
2023,93,4/3/2023,-1.11,7.22,3.06,0,
2023,94,4/4/2023,-3.33,3.33,0.00,0,
2023,95,4/5/2023,-6.67,0.00,-3.33,0.07,
2023,96,4/6/2023,-7.78,-3.33,-5.56,0,
2023,97,4/7/2023,-6.67,4.44,-1.11,0,
2023,98,4/8/2023,-3.33,5.56,1.11,0,
2023,99,4/9/2023,1.11,20.00,10.56,0,
2023,100,4/10/2023,-1.11,15.56,7.22,0,
2023,101,4/11/2023,0.56,21.67,11.11,0,
2023,102,4/12/2023,10.56,27.78,19.17,0,
2023,103,4/13/2023,7.78,30.00,18.89,0,
2023,104,4/14/2023,5.00,30.00,17.50,0,
2023,105,4/15/2023,2.22,12.78,7.50,0,
2023,106,4/16/2023,-0.56,2.78,1.11,0.05,
2023,107,4/17/2023,-2.22,7.78,2.78,0,
2023,108,4/18/2023,-1.67,12.78,5.56,0,
2023,109,4/19/2023,2.22,16.11,9.17,0.13,
2023,110,4/20/2023,2.22,12.78,7.50,0.55,
2023,111,4/21/2023,-1.11,6.11,2.50,0.36,
2023,112,4/22/2023,-1.67,2.22,0.28,0.03,
2023,113,4/23/2023,-5.56,3.89,-0.83,0,
2023,114,4/24/2023,-5.00,8.33,1.67,0,
2023,115,4/25/2023,-3.33,10.56,3.61,0,
2023,116,4/26/2023,0.56,10.56,5.56,0,
2023,117,4/27/2023,3.89,18.89,11.39,0,
2023,118,4/28/2023,5.56,19.44,12.50,0.15,
2023,119,4/29/2023,-0.56,11.67,5.56,0,
2023,120,4/30/2023,1.67,12.22,6.94,0.01,
2023,121,5/1/2023,0.56,12.22,6.39,0,
2023,122,5/2/2023,-1.11,12.22,5.56,0,
2023,123,5/3/2023,-1.67,16.11,7.22,0,
2023,124,5/4/2023,5.00,22.78,13.89,0,
2023,125,5/5/2023,5.41,26.56,16.92,0.00,
2023,126,5/6/2023,7.67,24.56,16.47,0.00,
2023,127,5/7/2023,10.37,23.58,15.47,0.00,
2023,128,5/8/2023,8.58,22.57,14.51,0.00,
2023,129,5/9/2023,3.00,23.02,14.26,0.00,
2023,130,5/10/2023,8.82,25.50,16.87,0.00,
2023,131,5/11/2023,11.85,24.02,17.80,0.05,
2023,132,5/12/2023,14.41,25.97,19.43,0.47,
2023,133,5/13/2023,14.31,19.17,17.07,0.51,
2023,134,5/14/2023,11.05,17.86,14.93,0.40,
2023,135,5/15/2023,9.28,17.06,12.44,0.22,
2023,136,5/16/2023,5.33,22.71,14.70,0.00,
2023,137,5/17/2023,7.31,25.67,18.00,0.00,
2023,138,5/18/2023,8.77,25.92,18.38,0.00,
2023,139,5/19/2023,7.03,22.40,15.70,0.00,
2023,140,5/20/2023,3.41,13.08,8.18,0.00,
2023,141,5/21/2023,1.15,22.47,13.27,0.00,
2023,142,5/22/2023,7.84,27.90,18.83,0.00,
2023,143,5/23/2023,16.21,28.91,22.14,0.00,
2023,144,5/24/2023,12.19,29.88,21.76,0.00,
2023,145,5/25/2023,13.36,29.63,22.13,0.00,
2023,146,5/26/2023,15.97,29.34,22.06,0.00,
2023,147,5/27/2023,13.49,29.12,21.01,0.00,
2023,148,5/28/2023,11.58,28.41,20.24,0.00,
2023,149,5/29/2023,11.22,29.49,21.25,0.00,
2023,150,5/30/2023,15.69,30.98,22.60,0.00,
2023,151,5/31/2023,17.06,31.79,23.88,0.00,
2023,152,6/1/2023,15.05,32.02,22.84,0.00,
2023,153,6/2/2023,17.72,31.02,24.10,0.00,
2023,154,6/3/2023,18.18,31.41,22.93,0.08,
2023,155,6/4/2023,18.00,30.60,23.88,0.10,
2023,156,6/5/2023,17.20,30.36,24.36,0.16,
2023,157,6/6/2023,15.91,31.82,24.16,0.04,
2023,158,6/7/2023,16.00,32.86,25.15,0.00,
2023,159,6/8/2023,20.06,31.46,24.48,0.00,
2023,160,6/9/2023,16.88,29.32,23.14,0.00,
2023,161,6/10/2023,17.69,27.80,21.61,0.00,
2023,162,6/11/2023,15.28,25.80,20.81,0.00,
2023,163,6/12/2023,9.20,21.65,15.58,0.00,
2023,164,6/13/2023,6.96,26.15,17.65,0.00,
2023,165,6/14/2023,12.49,28.70,21.39,0.00,
2023,166,6/15/2023,11.24,30.21,21.90,0.00,
2023,167,6/16/2023,13.02,31.49,22.72,0.00,
2023,168,6/17/2023,13.56,28.03,20.86,0.00,
2023,169,6/18/2023,16.79,25.83,21.05,0.43,
2023,170,6/19/2023,15.96,27.43,21.21,0.00,
2023,171,6/20/2023,16.37,34.08,26.01,0.00,
2023,172,6/21/2023,20.94,32.05,26.25,0.00,
2023,173,6/22/2023,16.60,29.95,24.17,0.00,
2023,174,6/23/2023,18.22,30.75,22.75,0.48,
2023,175,6/24/2023,18.04,27.76,22.36,0.15,
2023,176,6/25/2023,15.72,24.83,20.71,1.22,
2023,177,6/26/2023,15.11,21.72,18.09,0.08,
2023,178,6/27/2023,13.82,26.25,19.98,0.00,
2023,179,6/28/2023,13.07,27.50,19.71,0.03,
2023,180,6/29/2023,16.28,27.15,21.84,0.00,
2023,181,6/30/2023,15.26,30.43,23.15,0.00,
2023,182,7/1/2023,15.16,27.52,21.51,0.00,
2023,183,7/2/2023,14.30,28.18,21.76,0.00,
2023,184,7/3/2023,13.33,30.95,23.53,0.00,
2023,185,7/4/2023,19.00,29.80,24.80,0.01,
2023,186,7/5/2023,15.58,23.97,19.91,0.55,
2023,187,7/6/2023,9.49,19.50,16.05,0.00,
2023,188,7/7/2023,7.15,24.19,16.04,0.00,
2023,189,7/8/2023,11.61,20.52,15.39,0.03,
2023,190,7/9/2023,12.05,23.31,17.69,0.00,
2023,191,7/10/2023,10.45,27.67,19.83,0.00,
2023,192,7/11/2023,14.87,32.19,22.67,0.00,
2023,193,7/12/2023,11.15,20.79,16.42,0.00,
2023,194,7/13/2023,12.70,24.19,18.06,0.94,
2023,195,7/14/2023,13.50,29.98,21.76,0.00,
2023,196,7/15/2023,15.04,28.33,21.58,0.00,
2023,197,7/16/2023,13.09,24.68,18.76,0.00,
2023,198,7/17/2023,10.49,23.35,17.57,0.00,
2023,199,7/18/2023,8.34,23.16,16.16,0.00,
2023,200,7/19/2023,12.46,26.16,20.12,0.27,
2023,201,7/20/2023,14.71,30.01,22.08,0.04,
2023,202,7/21/2023,13.67,25.69,19.43,0.00,
2023,203,7/22/2023,11.79,27.05,18.82,0.00,
2023,204,7/23/2023,11.88,29.90,20.79,0.00,
2023,205,7/24/2023,12.19,30.76,22.29,0.00,
2023,206,7/25/2023,16.69,31.78,24.30,0.00,
2023,207,7/26/2023,16.91,32.98,25.98,0.00,
2023,208,7/27/2023,19.64,36.57,27.77,0.14,
2023,209,7/28/2023,22.36,34.65,28.50,0.00,
2023,210,7/29/2023,17.37,29.77,23.07,0.27,
2023,211,7/30/2023,14.66,26.87,20.28,0.00,
2023,212,7/31/2023,12.28,27.01,19.72,0.00,
2023,213,8/1/2023,15.38,29.89,22.64,0.00,
2023,214,8/2/2023,18.81,29.19,23.70,0.00,
2023,215,8/3/2023,19.12,31.54,25.15,0.00,
2023,216,8/4/2023,18.11,32.32,25.31,0.00,
2023,217,8/5/2023,17.35,30.45,23.35,0.09,
2023,218,8/6/2023,17.67,24.30,20.15,2.14,
2023,219,8/7/2023,15.98,24.06,18.90,1.14,
2023,220,8/8/2023,13.67,25.65,19.41,0.00,
2023,221,8/9/2023,11.87,26.48,19.65,0.00,
2023,222,8/10/2023,13.71,27.63,20.75,0.00,
2023,223,8/11/2023,15.26,28.96,21.83,0.25,
2023,224,8/12/2023,14.41,30.49,21.96,0.00,
2023,225,8/13/2023,12.84,26.93,20.48,0.00,
2023,226,8/14/2023,15.28,20.80,17.97,0.20,
2023,227,8/15/2023,12.01,23.25,17.81,0.14,
2023,228,8/16/2023,9.46,26.62,19.15,0.00,
2023,229,8/17/2023,16.54,31.16,22.16,0.00,
2023,230,8/18/2023,11.39,23.00,17.27,0.00,
2023,231,8/19/2023,11.03,27.89,20.46,0.00,
2023,232,8/20/2023,18.78,33.77,24.74,0.00,
2023,233,8/21/2023,14.83,24.32,19.04,0.00,
2023,234,8/22/2023,15.76,33.05,25.17,0.00,
2023,235,8/23/2023,25.55,36.11,30.05,0.00,
2023,236,8/24/2023,20.28,34.00,26.86,0.00,
2023,237,8/25/2023,20.20,31.65,25.09,0.00,
2023,238,8/26/2023,14.98,30.20,23.00,0.00,
2023,239,8/27/2023,11.64,23.71,16.97,0.00,
2023,240,8/28/2023,10.45,26.49,18.69,0.00,
2023,241,8/29/2023,12.58,30.07,20.49,0.00,
2023,242,8/30/2023,11.57,28.04,19.84,0.00,
2023,243,8/31/2023,7.63,28.55,19.81,0.00,
2023,244,9/1/2023,17.40,28.36,22.47,0.00,
2023,245,9/2/2023,16.42,32.02,23.84,0.00,
2023,246,9/3/2023,18.91,35.10,26.80,0.00,
2023,247,9/4/2023,18.48,36.44,26.76,0.00,
2023,248,9/5/2023,19.80,36.25,27.39,0.00,
2023,249,9/6/2023,14.21,29.50,20.56,0.15,
2023,250,9/7/2023,7.63,21.20,15.08,0.00,
2023,251,9/8/2023,3.35,24.92,14.45,0.00,
2023,252,9/9/2023,8.94,29.38,18.94,0.00,
2023,253,9/10/2023,10.92,23.90,17.47,0.00,
2023,254,9/11/2023,9.06,22.59,14.90,0.00,
2023,255,9/12/2023,5.54,23.87,14.16,0.13,
2023,256,9/13/2023,7.66,20.93,13.67,0.02,
2023,257,9/14/2023,7.61,25.61,16.00,0.00,
2023,258,9/15/2023,9.95,28.11,17.85,0.15,
2023,259,9/16/2023,8.78,24.53,17.52,0.00,
2023,260,9/17/2023,6.01,22.19,13.41,0.00,
2023,261,9/18/2023,3.05,23.32,13.46,0.00,
2023,262,9/19/2023,9.68,25.98,18.41,0.00,
2023,263,9/20/2023,8.81,31.40,20.53,0.00,
2023,264,9/21/2023,11.01,30.55,20.94,0.00,
2023,265,9/22/2023,14.14,24.38,18.35,0.00,
2023,266,9/23/2023,13.76,20.86,17.58,0.00,
2023,267,9/24/2023,12.76,22.84,16.76,1.43,
2023,268,9/25/2023,12.26,18.87,14.93,0.06,
2023,269,9/26/2023,12.38,22.22,16.64,0.01,
